bz    buzzer ........................ 0x006.3   on=0,off=1
w0    wind direction ................ 0x52c:1   deg, North=0 clockwise
w1    wind direction 1 .............. 0x52d:1   deg, North=0 clockwise
w2    wind direction 2 .............. 0x52e:1   deg, North=0 clockwise
w3    wind direction 3 .............. 0x52f:1   deg, North=0 clockwise
w4    wind direction 4 .............. 0x530:1   deg, North=0 clockwise
w5    wind direction 5 .............. 0x531:1   deg, North=0 clockwise
wc    wind chill .................... 0x3a0:4   C, temperature
wch   wind chill max ................ 0x3aa:4   C, temperature
wcha  wind chill max alarm .......... 0x3c8:4   C, temperature
wchs  wind chill max alarm set ...... 0x01c.1   off=0,on=1
wchv  wind chill max alarm active ... 0x023.1   inactive=0,active=1
wchw  wind chill max when ........... 0x3b8:10  yyyy-mm-dd hh:mm
wcl   wind chill min ................ 0x3a5:4   C, temperature
wcla  wind chill min alarm .......... 0x3c3:4   C, temperature
wcls  wind chill min alarm set ...... 0x01c.0   off=0,on=1
wclv  wind chill min alarm active ... 0x023.0   inactive=0,active=1
wclw  wind chill min when ........... 0x3ae:10  yyyy-mm-dd hh:mm
wds   wind direction alarm set ...... 0x01f.2   off=0,on=1
wdv   wind direction alarm active ... 0x026.2   inactive=0,active=1
ws    wind speed .................... 0x529:3   m/s, speed
wsh   wind speed max ................ 0x4f4:3   m/s, speed
wsha  wind speed max alarm .......... 0x538:3   m/s, speed
wshs  wind speed max alarm set ...... 0x01f.1   off=0,on=1
wshv  wind speed max alarm active ... 0x026.1   inactive=0,active=1
wshw  wind speed max when ........... 0x502:10  yyyy-mm-dd hh:mm
wsl   wind speed min ................ 0x4ee:3   m/s, speed
wsla  wind speed min alarm .......... 0x533:3   m/s, speed
wsls  wind speed min alarm set ...... 0x01f.0   off=0,on=1
wslv  wind speed min alarm active ... 0x026.0   inactive=0,active=1
wslw  wind speed min when ........... 0x4f8:10  yyyy-mm-dd hh:mm
wso   wind speed overflow ........... 0x527:1   no=0,overflow=1,unknown-X
wsu   wind speed units .............. 0x00f:1   m/s=0,knots=1,beaufort=2,km/h=3,mph=4,unknown-X
wsv   wind speed validity ........... 0x528:1   ok=0,invalid=1,overflow=2,unknown-X
wv    wind velocity ................. 0x529:4   ms,d, wind speed and direction
